contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value,adjust_method
No - Yes,No,-3.313840241030533,0.304697958765609,54.34852908795064,-10.875820285949889,2.96004953788669e-15,HOLM
No - Yes,Yes,-1.037404059716032,0.3027116683685713,53.102475721086286,-3.427036907123529,0.00118567691987711,HOLM
Baseline - Flashing,No,-0.3024549723814858,0.3177719683378661,371.8947464705994,-0.9517987818859632,0.7767967793446253,TUKEY
Baseline - Transparent,No,0.22886313177733783,0.3142117505546151,371.3826516115053,0.7283722883481334,0.8856936367992458,TUKEY
Baseline - Transparent_Flashing,No,-0.857674465911413,0.31411696444683407,371.4100739962955,-2.7304302632040076,0.03339105801066888,TUKEY
Flashing - Transparent,No,0.5313181041588236,0.3187598020011208,371.53360626974205,1.6668290694852277,0.3427921408234895,TUKEY
Flashing - Transparent_Flashing,No,-0.5552194935299273,0.3193682493995036,372.2522773494602,-1.7384930861908976,0.30522893055933464,TUKEY
Transparent - Transparent_Flashing,No,-1.0865375976887508,0.3158043366924441,371.76623926145874,-3.440540459540647,0.00360066815270643,TUKEY
Baseline - Flashing,Yes,0.14812364024963323,0.3141009533140584,371.4976883998444,0.4715797220186392,0.9652724166740306,TUKEY
Baseline - Transparent,Yes,-0.4469461363981251,0.31410095331405835,371.4976883998344,-1.4229378538410216,0.4857863995231617,TUKEY
Baseline - Transparent_Flashing,Yes,-0.13560712513809547,0.31410095331405835,371.4976883998344,-0.43173102057575335,0.9729941632594388,TUKEY
Flashing - Transparent,Yes,-0.5950697766477583,0.3125281597080628,371.0141921531176,-1.9040517091439757,0.2280725622140364,TUKEY
Flashing - Transparent_Flashing,Yes,-0.2837307653877288,0.3125281597080628,371.0141921531176,-0.907856641311189,0.8006723574589675,TUKEY
Transparent - Transparent_Flashing,Yes,0.3113390112600296,0.3125281597080628,371.0141921531176,0.9961950678327868,0.7516756764214537,TUKEY
